Species,Small-molecule metabolite or macromolecule,Metabolic activity,Ref. #
Streptococcus pasteurianus,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import) (-),563
Streptococcus pasteurianus,D-Mannitol (Mannitol),Consumption (import) (-),564
Streptococcus pasteurianus,D-Ribose (Ribose),Consumption (import) (-),563
Streptococcus pasteurianus,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import) (-),563
Streptococcus pasteurianus,D-Tagatose,Consumption (import),563
Streptococcus pasteurianus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus pasteurianus,Formate,Production (export),242(G)
Streptococcus pasteurianus,"Fructan (Inulin, Levan)",Macromolecule degradation (-),564
Streptococcus pasteurianus,H2O2,Production (export),24(G)
Streptococcus pasteurianus,Hippurate,Consumption (import) (-),563
Streptococcus pasteurianus,"L-Arabitol (L-Arabinitol, D-Arabitol)",Consumption (import) (-),563
Streptococcus pasteurianus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus pasteurianus,Lactose,Consumption (import),"564, 297(G)"
Streptococcus pasteurianus,Maltose,Consumption (import),563
Streptococcus pasteurianus,Melibiose,Consumption (import),"563, 564"
Streptococcus pasteurianus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus pasteurianus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus pasteurianus,Raffinose,Consumption (import),"563, 564"
Streptococcus pasteurianus,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation (-),"563, 564"
Streptococcus pasteurianus,Sucrose,Consumption (import),563
Streptococcus pasteurianus,Trehalose,Consumption (import),"563, 564"
Streptococcus pasteurianus,Urea,Consumption (import) (-),563
Streptococcus peroris,Acetate,Production (export),"242(G), 641(G)"
Streptococcus peroris,CO2,Production (export),"25(G), 641(G)"
Streptococcus peroris,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus peroris,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus peroris,Formate,Production (export),242(G)
Streptococcus peroris,H2O2,Production (export),24(G)
Streptococcus peroris,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus peroris,Lactose,Consumption (import),297(G)
Streptococcus peroris,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus peroris,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus pneumoniae,Acetate,Production (export),"242(G), 641(G)"
Streptococcus pneumoniae,CO2,Production (export),"25(G), 641(G)"
Streptococcus pneumoniae,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus pneumoniae,DNA RNA Polynucleotide,Macromolecule degradation,398
Streptococcus pneumoniae,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus pneumoniae,Formaldehyde,Production (export),245
Streptococcus pneumoniae,Formate,Production (export),242(G)
Streptococcus pneumoniae,H2O2,Production (export),24(G)
Streptococcus pneumoniae,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus pneumoniae,Lactose,Consumption (import),297(G)
Streptococcus pneumoniae,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus pneumoniae,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus pneumoniae,Trimethylamine,Production (export),245
Streptococcus porcinus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus porcinus,CO2,Production (export),"25(G), 641(G)"
Streptococcus porcinus,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus porcinus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus porcinus,Formate,Production (export),242(G)
Streptococcus porcinus,H2O2,Production (export),24(G)
Streptococcus porcinus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus porcinus,Lactose,Consumption (import),297(G)
Streptococcus porcinus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus porcinus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus pseudopneumoniae,Acetate,Production (export),"242(G), 641(G)"
Streptococcus pseudopneumoniae,CO2,Production (export),"25(G), 641(G)"
Streptococcus pseudopneumoniae,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus pseudopneumoniae,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus pseudopneumoniae,Formate,Production (export),242(G)
Streptococcus pseudopneumoniae,H2O2,Production (export),24(G)
Streptococcus pseudopneumoniae,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus pseudopneumoniae,Lactose,Consumption (import),297(G)
Streptococcus pseudopneumoniae,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus pseudopneumoniae,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus pseudoporcinus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus pseudoporcinus,CO2,Production (export),"25(G), 641(G)"
Streptococcus pseudoporcinus,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus pseudoporcinus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus pseudoporcinus,Formate,Production (export),242(G)
Streptococcus pseudoporcinus,H2O2,Production (export),24(G)
Streptococcus pseudoporcinus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus pseudoporcinus,Lactose,Consumption (import),297(G)
Streptococcus pseudoporcinus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus pseudoporcinus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus pyogenes,Acetate,Production (export),"242(G), 641(G)"
Streptococcus pyogenes,CO2,Production (export),"25(G), 641(G)"
Streptococcus pyogenes,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus pyogenes,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus pyogenes,Formate,Production (export),242(G)
Streptococcus pyogenes,H2O2,Production (export),24(G)
Streptococcus pyogenes,"Hyaluronan (Hyaluronate, Hyaluronic acid)",Macromolecule degradation,210
Streptococcus pyogenes,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus pyogenes,Lactose,Consumption (import),297(G)
Streptococcus pyogenes,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus pyogenes,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),"144, 65(G)"
Streptococcus pyogenes,Riboflavin (Vitamin B2),Consumption (import),144
Streptococcus ratti,Acetate,Production (export),"242(G), 641(G)"
Streptococcus ratti,CO2,Production (export),"25(G), 641(G)"
Streptococcus ratti,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus ratti,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus ratti,Formate,Production (export),242(G)
Streptococcus ratti,H2O2,Production (export),24(G)
Streptococcus ratti,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus ratti,Lactose,Consumption (import),297(G)
Streptococcus ratti,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus ratti,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus salivarius,Acetate,Production (export),"242(G), 641(G)"
Streptococcus salivarius,Biotin (Vitamin B7),Consumption (import),144
Streptococcus salivarius,CO2,Production (export),"25(G), 641(G)"
Streptococcus salivarius,Cellobiose,Consumption (import),242
Streptococcus salivarius,D-Fructose (Fructose),Consumption (import),242
Streptococcus salivarius,D-Galactose,Consumption (import),242
Streptococcus salivarius,D-Glucose (Glucose),Consumption (import),242
Streptococcus salivarius,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus salivarius,DNA RNA Polynucleotide,Macromolecule degradation,50
Streptococcus salivarius,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus salivarius,Formate,Production (export),242(G)
Streptococcus salivarius,H2O2,Production (export),24(G)
Streptococcus salivarius,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus salivarius,Lactose,Consumption (import),"242, 297(G)"
Streptococcus salivarius,Maltose,Consumption (import),242
Streptococcus salivarius,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus salivarius,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),144
Streptococcus salivarius,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),"144, 65(G)"
Streptococcus salivarius,Riboflavin (Vitamin B2),Consumption (import),144
Streptococcus salivarius,Sucrose,Consumption (import),242
Streptococcus salivarius,"Thiamine (Vitamin B1, Thiamin)",Consumption (import),144
Streptococcus sanguinis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus sanguinis,CO2,Production (export),"25(G), 641(G)"
Streptococcus sanguinis,Choline,Consumption (import),396
Streptococcus sanguinis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus sanguinis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus sanguinis,Formate,Production (export),242(G)
Streptococcus sanguinis,H2O2,Production (export),"138, 24(G)"
Streptococcus sanguinis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus sanguinis,Lactose,Consumption (import),297(G)
Streptococcus sanguinis,Mucin (Mucus Glycoprotein),Macromolecule degradation,28
Streptococcus sanguinis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus sanguinis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus sanguinis,Trimethylamine,Production (export),396
Streptococcus sobrinus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus sobrinus,CO2,Production (export),"25(G), 641(G)"
Streptococcus sobrinus,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus sobrinus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus sobrinus,Formate,Production (export),242(G)
Streptococcus sobrinus,H2O2,Production (export),24(G)
Streptococcus sobrinus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus sobrinus,Lactose,Consumption (import),297(G)
Streptococcus sobrinus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus sobrinus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus sp. GMD4S,Acetate,Production (export),"242(G), 641(G)"
Streptococcus sp. GMD4S,CO2,Production (export),"25(G), 641(G)"
Streptococcus sp. GMD4S,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus sp. GMD4S,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus sp. GMD4S,Formate,Production (export),242(G)
Streptococcus sp. GMD4S,H2O2,Production (export),24(G)
Streptococcus sp. GMD4S,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus sp. GMD4S,Lactose,Consumption (import),297(G)
Streptococcus sp. GMD4S,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus sp. GMD4S,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus suis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus suis,CO2,Production (export),"25(G), 641(G)"
Streptococcus suis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus suis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus suis,Formate,Production (export),242(G)
Streptococcus suis,H2O2,Production (export),24(G)
Streptococcus suis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus suis,Lactose,Consumption (import),297(G)
Streptococcus suis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus suis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus thermophilus,Acetate,Production (export),"242(G), 641(G)"
Streptococcus thermophilus,CO2,Production (export),"25(G), 641(G)"
Streptococcus thermophilus,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus thermophilus,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus thermophilus,"Folic acid (Folate, Vitamin B9)",Production (export),"129, 288"
Streptococcus thermophilus,Formate,Production (export),242(G)
Streptococcus thermophilus,H2O2,Production (export),24(G)
Streptococcus thermophilus,L-Arginine (Arginine),Consumption (import),299
Streptococcus thermophilus,"L-Aspartate (Aspartate, D-Aspartate)",Consumption (import),299
Streptococcus thermophilus,"L-Cysteine (Cysteine, D-Cysteine)",Consumption (import),676
Streptococcus thermophilus,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Consumption (import),299
Streptococcus thermophilus,L-Histidine (Histidine),Consumption (import),"299, 676"
Streptococcus thermophilus,L-Isoleucine (Isoleucine),Consumption (import),299
Streptococcus thermophilus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"146, 156, 300, 24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus thermophilus,L-Leucine (Leucine),Consumption (import),299
Streptococcus thermophilus,"L-Lysine (Lysine, D-Lysine)",Consumption (import),299
Streptococcus thermophilus,L-Methionine (D-Methionine),Consumption (import),"299, 676"
Streptococcus thermophilus,"L-Phenylalanine (Phenylalanine, D-Phenylalanine)",Consumption (import),299
Streptococcus thermophilus,L-Tyrosine (Tyrosine),Consumption (import),299
Streptococcus thermophilus,"L-Valine (Valine, D-Valine)",Consumption (import),299
Streptococcus thermophilus,Lactose,Consumption (import),"300, 297(G)"
Streptococcus thermophilus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus thermophilus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus thermophilus,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",Production (export),"54, 63"
Streptococcus thermophilus,Riboflavin (Vitamin B2),Consumption (import),144
Streptococcus thermophilus,"Thiamine (Vitamin B1, Thiamin)","Consumption (import), Production (export)","import:144;export:54, 63"
Streptococcus thoraltensis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus thoraltensis,CO2,Production (export),"25(G), 641(G)"
Streptococcus thoraltensis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus thoraltensis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus thoraltensis,Formate,Production (export),242(G)
Streptococcus thoraltensis,H2O2,Production (export),24(G)
Streptococcus thoraltensis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus thoraltensis,Lactose,Consumption (import),297(G)
Streptococcus thoraltensis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus thoraltensis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus uberis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus uberis,CO2,Production (export),"25(G), 641(G)"
Streptococcus uberis,D-Mannitol (Mannitol),Consumption (import),108(G)
Streptococcus uberis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus uberis,Formate,Production (export),242(G)
Streptococcus uberis,H2O2,Production (export),24(G)
Streptococcus uberis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"24(G), 25(G), 46(G), 85(G), 641(G), 654(G)"
Streptococcus uberis,Lactose,Consumption (import),297(G)
Streptococcus uberis,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),641(G)
Streptococcus uberis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Streptococcus urinalis,Acetate,Production (export),"242(G), 641(G)"
Streptococcus urinalis,CO2,Production (export),"25(G), 641(G)"
Streptococcus urinalis,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import) (-),728
Streptococcus urinalis,D-Mannitol (Mannitol),Consumption (import) (-),728
Streptococcus urinalis,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import) (-),728
Streptococcus urinalis,D-Tagatose,Consumption (import) (-),728
Streptococcus urinalis,Ethanol,Production (export),"25(G), 242(G)"
Streptococcus urinalis,Formate,Production (export),242(G)
